image_index,label,recall@1,recall@5,recall@10,recall@20
2125,44,0.01389,0.06944,0.13889,0.27778
2126,44,0.01389,0.06944,0.13889,0.27778
2127,44,0.01389,0.06944,0.13889,0.27778
2128,44,0.01389,0.06944,0.13889,0.27778
2129,44,0.01389,0.06944,0.13889,0.27778
2130,44,0.01389,0.06944,0.13889,0.27778
2131,44,0.01389,0.06944,0.13889,0.27778
2132,44,0.01389,0.06944,0.13889,0.27778
2133,44,0.01389,0.06944,0.13889,0.27778
2134,44,0.01389,0.06944,0.13889,0.27778
2135,44,0.01389,0.06944,0.13889,0.27778
2136,44,0.01389,0.06944,0.13889,0.27778
2137,44,0.01389,0.06944,0.13889,0.27778
2138,44,0.01389,0.06944,0.13889,0.27778
2139,44,0.01389,0.06944,0.13889,0.27778
2140,44,0.01389,0.06944,0.13889,0.27778
2141,44,0.01389,0.06944,0.13889,0.27778
2142,44,0.01389,0.06944,0.13889,0.27778
2143,44,0.01389,0.06944,0.13889,0.27778
2144,44,0.01389,0.06944,0.13889,0.27778
2145,44,0.01389,0.06944,0.13889,0.27778
2146,44,0.01389,0.06944,0.13889,0.27778
2147,44,0.01389,0.06944,0.13889,0.27778
2148,44,0.01389,0.06944,0.13889,0.27778
2149,44,0.01389,0.06944,0.13889,0.27778
2150,44,0.01389,0.06944,0.13889,0.27778
2151,44,0.01389,0.06944,0.13889,0.27778
2152,44,0.01389,0.06944,0.13889,0.27778
2153,44,0.01389,0.06944,0.13889,0.27778
2154,44,0.01389,0.06944,0.13889,0.27778
2155,44,0.01389,0.06944,0.13889,0.27778
2156,44,0.01389,0.06944,0.13889,0.27778
2157,44,0.01389,0.06944,0.13889,0.27778
2158,44,0.01389,0.06944,0.13889,0.27778
2159,44,0.01389,0.06944,0.13889,0.27778
2160,44,0.01389,0.06944,0.13889,0.27778
2161,44,0.01389,0.06944,0.13889,0.27778
2162,44,0.01389,0.06944,0.13889,0.27778
2163,44,0.01389,0.06944,0.13889,0.27778
2164,44,0.01389,0.06944,0.13889,0.27778
2165,44,0.01389,0.06944,0.13889,0.27778
2166,44,0.01389,0.06944,0.13889,0.27778
2167,44,0.01389,0.06944,0.13889,0.27778
2168,44,0.01389,0.06944,0.13889,0.27778
2169,44,0.01389,0.06944,0.13889,0.27778
2170,44,0.01389,0.06944,0.13889,0.27778
2171,44,0.01389,0.06944,0.13889,0.27778
2172,44,0.01389,0.06944,0.13889,0.27778
2173,44,0.01389,0.06944,0.13889,0.27778
2174,44,0.01389,0.06944,0.13889,0.27778
2175,44,0.01389,0.06944,0.13889,0.27778
2176,44,0.01389,0.06944,0.13889,0.27778
2177,44,0.01389,0.06944,0.13889,0.27778
2178,44,0.01389,0.06944,0.13889,0.27778
2179,44,0.01389,0.06944,0.13889,0.27778
2180,44,0.01389,0.06944,0.13889,0.27778
2181,44,0.01389,0.06944,0.13889,0.27778
2182,45,0.03125,0.09375,0.125,0.21875
2183,45,0.03125,0.125,0.1875,0.25
2184,45,0.03125,0.15625,0.28125,0.375
2185,45,0.03125,0.15625,0.1875,0.28125
2186,45,0.03125,0.09375,0.125,0.25
2187,45,0.0,0.03125,0.0625,0.15625
2188,45,0.03125,0.125,0.15625,0.40625
2189,45,0.03125,0.09375,0.15625,0.28125
2190,45,0.03125,0.09375,0.15625,0.21875
2191,45,0.03125,0.125,0.28125,0.46875
2192,45,0.03125,0.09375,0.125,0.25
2193,45,0.03125,0.15625,0.3125,0.5
2194,45,0.03125,0.125,0.1875,0.21875
2195,45,0.03125,0.125,0.15625,0.28125
2196,45,0.03125,0.09375,0.1875,0.3125
2197,45,0.03125,0.15625,0.25,0.3125
2198,45,0.03125,0.15625,0.15625,0.21875
2199,45,0.03125,0.125,0.125,0.1875
2200,45,0.03125,0.09375,0.125,0.1875
2201,45,0.03125,0.125,0.15625,0.25
2202,45,0.03125,0.125,0.1875,0.25
2203,45,0.03125,0.15625,0.3125,0.40625
2204,45,0.03125,0.125,0.21875,0.3125
2205,45,0.03125,0.125,0.25,0.34375
2206,45,0.03125,0.15625,0.28125,0.46875
2207,45,0.03125,0.15625,0.28125,0.5625
2208,45,0.03125,0.125,0.25,0.375
2209,45,0.03125,0.15625,0.25,0.3125
2210,45,0.03125,0.15625,0.1875,0.3125
2211,45,0.03125,0.125,0.1875,0.1875
2212,45,0.03125,0.15625,0.25,0.375
2213,45,0.03125,0.15625,0.1875,0.28125
2214,45,0.03125,0.09375,0.15625,0.25
2215,46,0.00641,0.03205,0.0641,0.12821
2216,46,0.00641,0.03205,0.0641,0.12821
2217,46,0.00641,0.03205,0.0641,0.12821
